Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A02135740	2017-10-25	IA	H1N1	A/swine/Iowa/A02135740/2017	gamma	NA	Classical	NA	NA	FALSE
A02135741	2017-11-07	IA	H1N1	A/swine/Iowa/A02135741/2017	gamma	NA	Classical	NA	NA	FALSE
A02135742	2017-10-31	IA	H1N1	A/swine/Iowa/A02135742/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A02135744	2017-11-01	IA	H1N1	A/swine/Iowa/A02135744/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A02135745	2017-11-01	IA	H1N2	A/swine/Iowa/A02135745/2017	delta1a	NA	NA	2002B	NA	FALSE
A02135746	2017-11-01	IA	H1N1	A/swine/Iowa/A02135746/2017	gamma	NA	Classical	NA	NA	FALSE
A02135747	2017-11-02	IA	H1N1	A/swine/Iowa/A02135747/2017	gamma	NA	Classical	NA	NA	FALSE
A02135751	2017-11-02	IA	H1N1	A/swine/Iowa/A02135751/2017	gamma	NA	Classical	NA	NA	FALSE
A02135790	2017-11-02	IA	H1N1	A/swine/Iowa/A02135790/2017	gamma	NA	Classical	NA	NA	FALSE
A02135838	2017-11-08	IA	H1N1	A/swine/Iowa/A02135838/2017	gamma	NA	Classical	NA	NA	FALSE
A02135875	2017-11-06	IA	H3N2	A/swine/Iowa/A02135875/2017	NA	2010.1	NA	2002	NA	FALSE
A02135879	2017-11-07	IA	H3N2	A/swine/Iowa/A02135879/2017	NA	2010.1	NA	2002A	NA	FALSE
A02135880	2017-11-07	IA	H3N2	A/swine/Iowa/A02135880/2017	NA	2010.1	NA	2002B	NA	FALSE
A02135887	2017-11-08	IA	H1N1	A/swine/Iowa/A02135887/2017	gamma	NA	Classical	NA	NA	FALSE
A02135888	2017-11-07	IA	H1N1	A/swine/Iowa/A02135888/2017	gamma	NA	Classical	NA	NA	FALSE
A02136016	2017-11-15	IA	H1N1	A/swine/Iowa/A02136016/2017	gamma	NA	Classical	NA	NA	FALSE
A02136086	2017-11-16	IA	H1N2	A/swine/Iowa/A02136086/2017	alpha	NA	NA	2002B	NA	FALSE
A02136687	2017-11-16	IA	H3N2	A/swine/Iowa/A02136687/2017	NA	2010.1	NA	2002A	NA	FALSE
A02136743	2017-11-09	IA	H1N1	A/swine/Iowa/A02136743/2017	gamma	NA	Classical	NA	NA	FALSE
A02136745	2017-11-09	IA	H1N1	A/swine/Iowa/A02136745/2017	gamma	NA	Classical	NA	NA	FALSE
A02136748	2017-11-17	IA	H3N2	A/swine/Iowa/A02136748/2017	NA	IV-A	NA	2002B	NA	FALSE
A02136751	2017-11-15	IA	H1N2	A/swine/Iowa/A02136751/2017	delta2	NA	NA	1998B	NA	FALSE
A02136753	2017-11-15	IA	H1N1	A/swine/Iowa/A02136753/2017	gamma	NA	Classical	NA	NA	FALSE
A02136754	2017-11-13	IA	H1N2	A/swine/Iowa/A02136754/2017	delta1b	NA	NA	2002A	NA	FALSE
A02136755	2017-11-14	IA	H1N1	A/swine/Iowa/A02136755/2017	delta1b	NA	Classical	NA	NA	FALSE
A02136765	2017-11-13	IA	H1N1	A/swine/Iowa/A02136765/2017	gamma	NA	Classical	NA	NA	FALSE
A02136827	2017-11-21	IA	H1N1	A/swine/Iowa/A02136827/2017	gamma	NA	Classical	NA	NA	FALSE
A02136834	2017-11-21	IA	H1N2	A/swine/Iowa/A02136834/2017	alpha	NA	NA	2002B	NA	FALSE
A02136841	2017-11-21	IA	H1N1	A/swine/Iowa/A02136841/2017	gamma	NA	Classical	NA	NA	FALSE
A02137131	2017-11-27	IA	H1N1	A/swine/Iowa/A02137131/2017	gamma	NA	Classical	NA	NA	FALSE
A02137132	2017-11-28	IA	H1N1	A/swine/Iowa/A02137132/2017	gamma	NA	Classical	NA	NA	FALSE
A02137133	2017-11-28	IA	H1N1	A/swine/Iowa/A02137133/2017	gamma	NA	Classical	NA	NA	FALSE
A02137134	2017-11-29	IA	H1N1	A/swine/Iowa/A02137134/2017	gamma	NA	Classical	NA	NA	FALSE
A02137136	2017-11-28	IA	H1N2	A/swine/Iowa/A02137136/2017	delta1b	NA	NA	2002A	NA	FALSE
A02137139	2017-11-29	IA	H1N1	A/swine/Iowa/A02137139/2017	gamma	NA	Classical	NA	NA	FALSE
A02137141	2017-11-29	IA	H3N2	A/swine/Iowa/A02137141/2017	NA	2010.1	NA	2002B	NA	FALSE
A02137144	2017-11-30	IA	H1N1	A/swine/Iowa/A02137144/2017	gamma	NA	Classical	NA	NA	FALSE
A02137145	2017-11-30	IA	H1N1	A/swine/Iowa/A02137145/2017	gamma	NA	Classical	NA	NA	FALSE
A02137150	2017-12-04	IA	H1N2	A/swine/Iowa/A02137150/2017	delta2	NA	NA	1998B	NA	FALSE
A02137257	2017-11-08	IA	H1N1	A/swine/Iowa/A02137257/2017	gamma	NA	Classical	NA	NA	FALSE
A02137258	2017-11-13	IA	H1N1	A/swine/Iowa/A02137258/2017	gamma	NA	Classical	NA	NA	FALSE
A02137259	2017-11-15	IA	H1N1	A/swine/Iowa/A02137259/2017	gamma	NA	Classical	NA	NA	FALSE
A02137260	2017-11-21	IA	H1N1	A/swine/Iowa/A02137260/2017	gamma	NA	Classical	NA	NA	FALSE
A02137340	2017-12-06	IA	H1N1	A/swine/Iowa/A02137340/2017	gamma	NA	Classical	NA	NA	FALSE
A02138480	2017-12-01	IA	H1N2	A/swine/Iowa/A02138480/2017	delta2	NA	NA	1998B	NA	FALSE
A02138482	2017-12-03	IA	H1N1	A/swine/Iowa/A02138482/2017	gamma	NA	Classical	NA	NA	FALSE
A02138484	2017-12-05	IA	H1N1	A/swine/Iowa/A02138484/2017	gamma	NA	Classical	NA	NA	FALSE
A02138490	2017-12-05	IA	H1N1	A/swine/Iowa/A02138490/2017	gamma	NA	Classical	NA	NA	FALSE
A02138492	2017-12-07	IA	H1N1	A/swine/Iowa/A02138492/2017	gamma	NA	Classical	NA	NA	FALSE
A02138493	2017-12-07	IA	H1N1	A/swine/Iowa/A02138493/2017	gamma	NA	Classical	NA	NA	FALSE
A02138494	2017-12-08	IA	H1N2	A/swine/Iowa/A02138494/2017	delta2	NA	NA	1998B	NA	FALSE
A02138495	2017-12-08	IA	H1N1	A/swine/Iowa/A02138495/2017	gamma	NA	Classical	NA	NA	FALSE
A02138535	2017-12-03	IA	H3N2	A/swine/Iowa/A02138535/2017	NA	2010.1	NA	2002B	NA	FALSE
A02138762	2017-12-14	IA	H3N2	A/swine/Iowa/A02138762/2017	NA	2010.1	NA	2002B	NA	FALSE
A02138764	2017-12-13	IA	H3N2	A/swine/Iowa/A02138764/2017	NA	2010.1	NA	2002B	NA	FALSE
A02138765	2017-12-13	IA	H1N1	A/swine/Iowa/A02138765/2017	gamma	NA	Classical	NA	NA	FALSE
A02138770	2017-12-12	IA	H3N2	A/swine/Iowa/A02138770/2017	NA	2010.1	NA	2002B	NA	FALSE
A02138771	2017-12-12	IA	H1N1	A/swine/Iowa/A02138771/2017	gamma	NA	Classical	NA	NA	FALSE
A02138772	2017-12-11	IA	H1N1	A/swine/Iowa/A02138772/2017	gamma	NA	Classical	NA	NA	FALSE
A02138850	2017-12-15	IA	H1N1	A/swine/Iowa/A02138850/2017	gamma	NA	Classical	NA	NA	FALSE
A02138855	2017-12-15	IA	H1N1	A/swine/Iowa/A02138855/2017	gamma	NA	Classical	NA	NA	FALSE
A02138970	2017-12-21	IA	H3N2	A/swine/Iowa/A02138970/2017	NA	2010.1	NA	2002B	NA	FALSE
A02139130	2017-12-15	IA	H3N2	A/swine/Iowa/A02139130/2017	NA	2010.1	NA	2002B	NA	FALSE
A02139131	2017-12-18	IA	H3N2	A/swine/Iowa/A02139131/2017	NA	2010.1	NA	2002A	NA	FALSE
A02139132	2017-12-19	IA	H1N1	A/swine/Iowa/A02139132/2017	gamma	NA	Classical	NA	NA	FALSE
A02139133	2017-12-12	IA	H3N2	A/swine/Iowa/A02139133/2017	NA	2010.1	NA	2002B	NA	FALSE
A02216716	2017-06-16	IA	H1N2	A/swine/Iowa/A02216716/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02217282	2017-06-19	IA	H1N1	A/swine/Iowa/A02217282/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02217286	2017-06-15	IA	H1N2	A/swine/Iowa/A02217286/2017	delta1a	NA	NA	2002A	TTTPPT	TRUE
A02217289	2017-06-14	IA	H1N2	A/swine/Iowa/A02217289/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02217313	2017-06-15	IA	H1N1	A/swine/Iowa/A02217313/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02218156	2017-07-10	IA	H3N2	A/swine/Iowa/A02218156/2017	NA	IV-A	NA	2002B	TTTTPT	TRUE
A02218163	2017-06-21	IA	H3N2	A/swine/Iowa/A02218163/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02218171	2017-06-27	IA	H1N1	A/swine/Iowa/A02218171/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A02218173	2017-06-27	IA	H3N2	A/swine/Iowa/A02218173/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02218427	2017-07-13	IA	H3N2	A/swine/Iowa/A02218427/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02218428	2017-07-21	IA	H1N1	A/swine/Iowa/A02218428/2017	gamma	NA	Classical	NA	T-TPPT	FALSE
A02218429	2017-07-20	IA	H1N2	A/swine/Iowa/A02218429/2017	alpha	NA	NA	2002B	TTPTPT	TRUE
A02218750	2017-07-26	IA	H1N1	A/swine/Iowa/A02218750/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A02218752	2017-07-27	IA	H1N2	A/swine/Iowa/A02218752/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02218753	2017-07-26	IA	H3N2	A/swine/Iowa/A02218753/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02218755	2017-07-31	IA	H1N1	A/swine/Iowa/A02218755/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A02218762	2017-08-07	IA	H3N2	A/swine/Iowa/A02218762/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02219544	2017-08-08	IA	H3N2	A/swine/Iowa/A02219544/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02219785	2017-08-24	IA	H1N2	A/swine/Iowa/A02219785/2017	delta1a	NA	NA	2002B	TTPTPT	TRUE
A02219788	2017-08-22	IA	H3N2	A/swine/Iowa/A02219788/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02219790	2017-08-17	IA	H1N2	A/swine/Iowa/A02219790/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02221505	2017-08-29	IA	H1N1	A/swine/Iowa/A02221505/2017	pandemic	NA	Pandemic	NA	TTPTPT	TRUE
A02221506	2017-08-30	IA	H1N1	A/swine/Iowa/A02221506/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02221508	2017-08-31	IA	H1N1	A/swine/Iowa/A02221508/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A02221866	2017-09-29	IA	H1N2	A/swine/Iowa/A02221866/2017	delta1a	NA	NA	2002A	NA	FALSE
A02223222	2017-10-10	IA	H3N2	A/swine/Iowa/A02223222/2017	NA	2010.1	NA	2002B	NA	FALSE
A02223245	2017-10-03	IA	H1N2	A/swine/Iowa/A02223245/2017	delta1a	NA	NA	2002B	NA	FALSE
A02223434	2017-10-16	IA	H1N1	A/swine/Iowa/A02223434/2017	gamma	NA	Classical	NA	NA	FALSE
A02223435	2017-10-16	IA	H1N1	A/swine/Iowa/A02223435/2017	gamma	NA	Classical	NA	NA	FALSE
A02223462	2017-10-10	IA	H1N1	A/swine/Iowa/A02223462/2017	gamma	NA	Classical	NA	NA	FALSE
A02223463	2017-10-09	IA	H1N2	A/swine/Iowa/A02223463/2017	alpha	NA	NA	2002B	NA	FALSE
A02223464	2017-10-09	IA	H1N2	A/swine/Iowa/A02223464/2017	delta1a	NA	NA	2002B	NA	FALSE
A02223466	2017-10-10	IA	H1N1	A/swine/Iowa/A02223466/2017	gamma	NA	Classical	NA	NA	FALSE
A02223467	2017-10-10	IA	H1N1	A/swine/Iowa/A02223467/2017	gamma	NA	Classical	NA	NA	FALSE
A01378037	2017-12-21	KS	H1N1	A/swine/Kansas/A01378037/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01785362	2017-11-22	KS	H1N2	A/swine/Kansas/A01785362/2017	alpha	NA	NA	2002B	NA	FALSE
A01678514	2017-10-10	MN	H3N2	A/swine/Minnesota/A01678514/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A01785267	2017-06-01	MN	H3N2	A/swine/Minnesota/A01785267/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01785324	2017-10-20	MN	H1N2	A/swine/Minnesota/A01785324/2017	delta1a	NA	NA	2002B	NA	FALSE
A01785328	2017-10-25	MN	H3N2	A/swine/Minnesota/A01785328/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785333	2017-10-27	MN	H3N2	A/swine/Minnesota/A01785333/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785343	2017-11-06	MN	H1N1	A/swine/Minnesota/A01785343/2017	gamma	NA	Classical	NA	NA	FALSE
A01785345	2017-11-07	MN	H3N2	A/swine/Minnesota/A01785345/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785346	2017-11-10	MN	H1N1	A/swine/Minnesota/A01785346/2017	gamma	NA	Classical	NA	NA	FALSE
A01785347	2017-11-08	MN	H1N2	A/swine/Minnesota/A01785347/2017	delta1a	NA	NA	2002B	NA	FALSE
A01785349	2017-11-12	MN	H1N1	A/swine/Minnesota/A01785349/2017	gamma	NA	Classical	NA	NA	FALSE
A01785350	2017-11-08	MN	H1N1	A/swine/Minnesota/A01785350/2017	gamma	NA	Classical	NA	NA	FALSE
A01785352	2017-11-14	MN	H1N2	A/swine/Minnesota/A01785352/2017	alpha	NA	NA	2002B	NA	FALSE
A01785354	2017-11-14	MN	H1N1	A/swine/Minnesota/A01785354/2017	gamma	NA	Classical	NA	NA	FALSE
A01785355	2017-11-15	MN	H3N2	A/swine/Minnesota/A01785355/2017	NA	2010.1	NA	2002A	NA	FALSE
A01785358	2017-11-20	MN	H1N1	A/swine/Minnesota/A01785358/2017	gamma	NA	Classical	NA	NA	FALSE
A01785359	2017-11-21	MN	H1N1	A/swine/Minnesota/A01785359/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A01785361	2017-11-21	MN	H3N2	A/swine/Minnesota/A01785361/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785363	2017-11-24	MN	H3N2	A/swine/Minnesota/A01785363/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785364	2017-11-27	MN	H1N1	A/swine/Minnesota/A01785364/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A01785365	2017-11-27	MN	H1N1	A/swine/Minnesota/A01785365/2017	gamma	NA	Classical	NA	NA	FALSE
A01785366	2017-11-28	MN	H1N1	A/swine/Minnesota/A01785366/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A01785380	2017-12-06	MN	H1N1	A/swine/Minnesota/A01785380/2017	gamma	NA	Classical	NA	NA	FALSE
A01785382	2017-12-08	MN	H1N1	A/swine/Minnesota/A01785382/2017	gamma	NA	Classical	NA	NA	FALSE
A01785384	2017-12-18	MN	H3N2	A/swine/Minnesota/A01785384/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785392	2017-12-19	MN	H1N1	A/swine/Minnesota/A01785392/2017	gamma	NA	Classical	NA	NA	FALSE
A01785393	2017-12-20	MN	H3N2	A/swine/Minnesota/A01785393/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785400	2017-12-27	MN	H3N2	A/swine/Minnesota/A01785400/2017	NA	2010.1	NA	2002B	NA	FALSE
A02134227	2017-10-16	MN	H1N2	A/swine/Minnesota/A02134227/2017	delta1a	NA	NA	2002B	NA	FALSE
A02134234	2017-10-19	MN	H1N1	A/swine/Minnesota/A02134234/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A02134995	2017-10-20	MN	H1N2	A/swine/Minnesota/A02134995/2017	delta1b	NA	NA	2002A	NA	FALSE
A02135743	2017-10-31	MN	H1N1	A/swine/Minnesota/A02135743/2017	gamma	NA	Classical	NA	NA	FALSE
A02135883	2017-11-06	MN	H1N2	A/swine/Minnesota/A02135883/2017	delta1a	NA	NA	2002B	NA	FALSE
A02135884	2017-11-06	MN	H1N2	A/swine/Minnesota/A02135884/2017	delta1a	NA	NA	2002B	NA	FALSE
A02136750	2017-11-15	MN	H1N2	A/swine/Minnesota/A02136750/2017	alpha	NA	NA	2002B	NA	FALSE
A02136839	2017-11-21	MN	H3N2	A/swine/Minnesota/A02136839/2017	NA	2010.1	NA	2002B	NA	FALSE
A02221495	2017-08-29	MN	H3N2	A/swine/Minnesota/A02221495/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A01785353	2017-11-14	MO	H3N2	A/swine/Missouri/A01785353/2017	NA	2010.1	NA	2002A	NA	FALSE
A01785374	2017-11-29	MO	H1N1	A/swine/Missouri/A01785374/2017	gamma	NA	Classical	NA	NA	FALSE
A01785376	2017-12-04	MO	H1N2	A/swine/Missouri/A01785376/2017	gamma	NA	NA	2002A	NA	FALSE
A01785394	2017-12-21	MO	H1N1	A/swine/Missouri/A01785394/2017	gamma	NA	Classical	NA	NA	FALSE
A02135750	2017-11-03	MO	H3N2	A/swine/Missouri/A02135750/2017	NA	2010.1	NA	2002B	NA	FALSE
A02135876	2017-11-02	MO	H3N2	A/swine/Missouri/A02135876/2017	NA	2010.1	NA	2002A	NA	FALSE
A02136762	2017-11-13	MO	H3N2	A/swine/Missouri/A02136762/2017	NA	2010.1	NA	2002B	NA	FALSE
A02136826	2017-11-21	MO	H1N2	A/swine/Missouri/A02136826/2017	delta1a	NA	NA	2002A	NA	FALSE
A02137143	2017-11-30	MO	H3N2	A/swine/Missouri/A02137143/2017	NA	2010.1	NA	2002A	NA	FALSE
A02138485	2017-12-06	MO	H1N1	A/swine/Missouri/A02138485/2017	gamma	NA	Classical	NA	NA	FALSE
A02139136	2017-12-19	MO	H1N1	A/swine/Missouri/A02139136/2017	gamma	NA	Classical	NA	NA	FALSE
A02139233	2018-01-03	MO	H1N1	A/swine/Missouri/A02139233/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A02218334	2017-07-17	MO	H1N1	A/swine/Missouri/A02218334/2017	gamma	NA	Classical	NA	TTTTPT	TRUE
A02218506	2017-07-25	MO	H1N2	A/swine/Missouri/A02218506/2017	delta1a	NA	NA	2002B	TTTTPT	TRUE
A01785325	2017-10-23	NE	H3N2	A/swine/Nebraska/A01785325/2017	NA	IV-A	NA	2002A	NA	FALSE
A01785331	2017-10-25	NE	H3N2	A/swine/Nebraska/A01785331/2017	NA	IV-A	NA	2002A	NA	FALSE
A01785381	2017-12-07	NE	H3N2	A/swine/Nebraska/A01785381/2017	NA	IV-B	NA	2002B	NA	FALSE
A01785383	2017-12-11	NE	H3N2	A/swine/Nebraska/A01785383/2017	NA	IV-A	NA	2002A	NA	FALSE
A01785401	2017-12-27	NE	H1N2	A/swine/Nebraska/A01785401/2017	delta1a	NA	NA	2002B	NA	FALSE
A02134238	2017-10-20	NE	H1N2	A/swine/Nebraska/A02134238/2017	alpha	NA	NA	2002B	NA	FALSE
A02136758	2017-11-15	NE	H1N2	A/swine/Nebraska/A02136758/2017	delta1b	NA	NA	2002B	NA	FALSE
A02136759	2017-11-13	NE	H3N2	A/swine/Nebraska/A02136759/2017	NA	2010.1	NA	2002B	NA	FALSE
A02137140	2017-11-28	NE	H3N2	A/swine/Nebraska/A02137140/2017	NA	2010.1	NA	2002B	NA	FALSE
A02216637	2017-06-02	NE	H1N2	A/swine/Nebraska/A02216637/2017	delta1b	NA	NA	2002A	TTPPPT	TRUE
A02216645	2017-06-06	NE	H1N1	A/swine/Nebraska/A02216645/2017	pandemic	NA	Pandemic	NA	TTPTPT	TRUE
A02217400	2017-06-28	NE	H3N2	A/swine/Nebraska/A02217400/2017	NA	IV-A	NA	2002B	TTTTPT	TRUE
A02218433	2017-07-12	NE	H1N2	A/swine/Nebraska/A02218433/2017	delta1b	NA	NA	2002A	TTTPPT	TRUE
A02218434	2017-07-12	NE	H1N2	A/swine/Nebraska/A02218434/2017	alpha	NA	NA	2002B	TTPTPT	TRUE
A02219793	2017-08-23	NE	H1N1	A/swine/Nebraska/A02219793/2017	gamma	NA	Classical	NA	PPPTPT	TRUE
A02221499	2017-08-28	NE	H3N2	A/swine/Nebraska/A02221499/2017	NA	IV-A	NA	2002B	TTTTPT	TRUE
A02223209	2017-10-09	NE	H1N2	A/swine/Nebraska/A02223209/2017	delta2	NA	NA	1998B	NA	FALSE
A01785281	2017-07-28	NC	H1N1	A/swine/North_Carolina/A01785281/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A01785282	2017-08-02	NC	H1N1	A/swine/North_Carolina/A01785282/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A01785332	2017-10-24	NC	H1N2	A/swine/North_Carolina/A01785332/2017	delta2	NA	NA	1998B	NA	FALSE
A01785335	2017-10-31	NC	H3N2	A/swine/North_Carolina/A01785335/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785340	2017-11-02	NC	H3N2	A/swine/North_Carolina/A01785340/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785341	2017-10-31	NC	H3N2	A/swine/North_Carolina/A01785341/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785357	2017-11-18	NC	H1N1	A/swine/North_Carolina/A01785357/2017	gamma	NA	Classical	NA	NA	FALSE
A01785360	2017-11-21	NC	H3N2	A/swine/North_Carolina/A01785360/2017	NA	2010.1	NA	2002B	NA	FALSE
A01785371	2017-11-24	NC	H1N2	A/swine/North_Carolina/A01785371/2017	delta2	NA	NA	1998B	NA	FALSE
A01785397	2017-12-19	NC	H1N2	A/swine/North_Carolina/A01785397/2017	delta2	NA	NA	1998B	NA	FALSE
A01785402	2017-12-28	NC	H1N2	A/swine/North_Carolina/A01785402/2017	delta2	NA	NA	1998B	NA	FALSE
A02134197	2017-10-24	NC	H1N2	A/swine/North_Carolina/A02134197/2017	alpha	NA	NA	2002B	NA	FALSE
A02134328	2017-10-25	NC	H1N2	A/swine/North_Carolina/A02134328/2017	delta2	NA	NA	1998B	NA	FALSE
A02136838	2017-11-21	NC	H1N1	A/swine/North_Carolina/A02136838/2017	gamma	NA	Classical	NA	NA	FALSE
A02137106	2017-11-30	NC	H1N2	A/swine/North_Carolina/A02137106/2017	delta2	NA	NA	1998B	NA	FALSE
A02138712	2017-12-13	NC	H3N2	A/swine/North_Carolina/A02138712/2017	NA	2010.1	NA	2002B	NA	FALSE
A02138714	2017-12-13	NC	H1N1	A/swine/North_Carolina/A02138714/2017	gamma	NA	Classical	NA	NA	FALSE
A02216470	2017-06-02	NC	H1N2	A/swine/North_Carolina/A02216470/2017	alpha	NA	NA	2002B	TTPPPT	TRUE
A02218135	2017-07-05	NC	H1N2	A/swine/North_Carolina/A02218135/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02218550	2017-07-26	NC	H3N2	A/swine/North_Carolina/A02218550/2017	NA	IV-B	NA	2002B	TTTTPT	TRUE
A02218894	2017-08-10	NC	H1N2	A/swine/North_Carolina/A02218894/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02218906	2017-08-09	NC	H1N2	A/swine/North_Carolina/A02218906/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02219753	2017-08-24	NC	H3N2	A/swine/North_Carolina/A02219753/2017	NA	IV-B	NA	1998B	TTTTPT	TRUE
A02223282	2017-10-09	NC	H1N2	A/swine/North_Carolina/A02223282/2017	alpha	NA	NA	2002B	NA	FALSE
A02223408	2017-10-13	NC	H1N1	A/swine/North_Carolina/A02223408/2017	gamma	NA	Classical	NA	NA	FALSE
A01785399	2017-12-26	OH	H3N2	A/swine/Ohio/A01785399/2017	NA	2010.1	NA	2002A	NA	FALSE
A02136752	2017-11-16	OH	H1N2	A/swine/Ohio/A02136752/2017	delta1a	NA	NA	2002B	NA	FALSE
A02216472	2017-06-01	OH	H1N1	A/swine/Ohio/A02216472/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A02218759	2017-07-25	OH	H3N2	A/swine/Ohio/A02218759/2017	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02219547	2017-08-10	OH	H1N1	A/swine/Ohio/A02219547/2017	gamma	NA	Classical	NA	TTTPPT	TRUE
A01678529	2017-12-15	OK	H3N2	A/swine/Oklahoma/A01678529/2017	NA	2010.2	NA	2016	NA	FALSE
A01785279	2017-07-18	OK	H1N2	A/swine/Oklahoma/A01785279/2017	delta1a	NA	NA	2002A	TTTPPT	TRUE
A01785330	2017-10-26	OK	H1N2	A/swine/Oklahoma/A01785330/2017	delta1a	NA	NA	2002B	NA	FALSE
A02135941	2017-11-14	OK	H1N2	A/swine/Oklahoma/A02135941/2017	delta1a	NA	NA	2002A	NA	FALSE
A02136757	2017-11-14	OK	H1N2	A/swine/Oklahoma/A02136757/2017	delta1a	NA	NA	2002B	NA	FALSE
A02219505	2017-08-14	OK	H1N2	A/swine/Oklahoma/A02219505/2017	delta1b	NA	NA	2002B	TTTTPT	TRUE
A02218034	2017-07-05	PA	H1N2	A/swine/Pennsylvania/A02218034/2017	delta2	NA	NA	1998B	TTTPPT	TRUE
A02218184	2017-06-21	PA	H3N2	A/swine/Pennsylvania/A02218184/2017	NA	2010.1	NA	2002A	TTTTPT	TRUE
A01785351	2017-11-15	SC	H1N1	A/swine/South_Carolina/A01785351/2017	gamma	NA	Classical	NA	NA	FALSE
A01678503	2017-08-28	SD	H1N2	A/swine/South_Dakota/A01678503/2017	delta1b	NA	NA	2002A	TTTPPT	TRUE
A01785372	2017-11-29	SD	H1N2	A/swine/South_Dakota/A01785372/2017	delta1b	NA	NA	2002A	NA	FALSE
A01785373	2017-11-29	SD	H3N2	A/swine/South_Dakota/A01785373/2017	NA	IV-A	NA	2002B	NA	FALSE
A01785375	2017-12-01	SD	H3N2	A/swine/South_Dakota/A01785375/2017	NA	IV-A	NA	2002B	NA	FALSE
A01785386	2017-12-15	SD	H1N2	A/swine/South_Dakota/A01785386/2017	delta1b	NA	NA	2002A	NA	FALSE
A01785388	2017-12-18	SD	H1N2	A/swine/South_Dakota/A01785388/2017	delta1b	NA	NA	2002A	NA	FALSE
A02138768	2017-12-11	SD	H1N1	A/swine/South_Dakota/A02138768/2017	pandemic	NA	Pandemic	NA	NA	FALSE
A02223247	2017-10-04	SD	H1N2	A/swine/South_Dakota/A02223247/2017	alpha	NA	NA	2002	NA	FALSE
A02135700	2017-11-01	TX	H1N2	A/swine/Texas/A02135700/2017	alpha	NA	NA	2002B	NA	FALSE
A01104100	2017-10-17	WI	H1N1	A/swine/Wisconsin/A01104100/2017	gamma	NA	Classical	NA	TTPPPT	TRUE
A01678516	2017-11-13	IA	H1N2	A/swine/Iowa/A01678516/2017	delta2	NA	NA	1998B	NA	FALSE
A01785311	2017-10-11	IA	H1N1	A/swine/Iowa/A01785311/2017	gamma	NA	Classical	NA	NA	FALSE
A01785310	2017-10-10	MN	H3N2	A/swine/Minnesota/A01785310/2017	NA	IV-B	NA	2002B	NA	FALSE
A01785312	2017-10-12	MN	H1N2	A/swine/Minnesota/A01785312/2017	delta1b	NA	NA	2002A	NA	FALSE
A01785314	2017-10-13	MN	H1N2	A/swine/Minnesota/A01785314/2017	delta1a	NA	NA	2002A	NA	FALSE
A01785315	2017-10-13	MN	H1N1	A/swine/Minnesota/A01785315/2017	gamma	NA	Classical	NA	NA	FALSE
